Measurement Time	Port 1 ECT/RT-1 Temperature °C Temp	Port 2 EC-5 Soil Moisture m³/m³ VWC	Port 3 EC-5 Soil Moisture m³/m³ VWC	Port 4 EC-5 Soil Moisture m³/m³ VWC	Port 5 EC-5 Soil Moisture m³/m³ VWC
06/28/16 08:00 AM	15.3	-0.004	-0.016	0.094	0.091
06/28/16 12:00 PM	30.2	0.004	-0.010	0.093	0.090
06/28/16 04:00 PM	36.9	0.015	-0.002	0.092	0.090
06/28/16 08:00 PM	31.9	0.010	-0.007	0.094	0.091
06/29/16 12:00 AM	19.6	0.000	-0.014	0.095	0.092
06/29/16 04:00 AM	16.3	-0.004	-0.017	0.096	0.092
06/29/16 08:00 AM	16.9	-0.006	-0.019	0.095	0.091
06/29/16 12:00 PM	29.6	0.001	-0.013	0.093	0.091
06/29/16 04:00 PM	34.5	0.012	-0.006	0.092	0.090
06/29/16 08:00 PM	18.8	0.162	0.230	0.085	0.096
06/30/16 12:00 AM	17.5	0.166	0.179	0.079	0.094
06/30/16 04:00 AM	14.3	0.159	0.164	0.076	0.094
06/30/16 08:00 AM	14.0	0.155	0.156	0.074	0.092
06/30/16 12:00 PM	21.6	0.155	0.155	0.074	0.091
06/30/16 04:00 PM	30.1	0.159	0.156	0.075	0.091
06/30/16 08:00 PM	16.6	0.156	0.154	0.080	0.094
07/01/16 12:00 AM	13.4	0.151	0.147	0.077	0.093
07/01/16 04:00 AM	10.4	0.147	0.144	0.076	0.092
07/01/16 08:00 AM	11.0	0.144	0.141	0.075	0.092
07/01/16 12:00 PM	24.2	0.148	0.144	0.075	0.091
07/01/16 04:00 PM	29.4	0.153	0.146	0.077	0.090
07/01/16 08:00 PM	29.1	0.145	0.143	0.084	0.092
07/02/16 12:00 AM	16.7	0.135	0.140	0.089	0.094
07/02/16 04:00 AM	13.3	0.128	0.135	0.090	0.094
07/02/16 08:00 AM	12.8	0.124	0.131	0.089	0.094
07/02/16 12:00 PM	25.2	0.126	0.130	0.087	0.093
07/02/16 04:00 PM	30.2	0.130	0.132	0.089	0.092
07/02/16 08:00 PM	30.3	0.123	0.127	0.094	0.094
07/03/16 12:00 AM	21.5	0.109	0.122	0.097	0.096
07/03/16 04:00 AM	17.6	0.102	0.117	0.097	0.096
07/03/16 08:00 AM	14.2	0.098	0.113	0.097	0.095
07/03/16 12:00 PM	24.4	0.098	0.109	0.094	0.094
07/03/16 04:00 PM	26.4	0.098	0.105	0.094	0.094
07/03/16 08:00 PM	28.4	0.089	0.100	0.097	0.095
07/04/16 12:00 AM	18.3	0.081	0.097	0.099	0.096
07/04/16 04:00 AM	10.0	0.077	0.095	0.099	0.095
07/04/16 08:00 AM	10.2	0.073	0.092	0.098	0.094
07/04/16 12:00 PM	20.9	0.074	0.088	0.095	0.094
07/04/16 04:00 PM	23.0	0.073	0.083	0.095	0.093
07/04/16 08:00 PM	27.7	0.072	0.081	0.096	0.093
07/05/16 12:00 AM	18.6	0.064	0.077	0.098	0.094
07/05/16 04:00 AM	14.3	0.061	0.077	0.098	0.094
07/05/16 08:00 AM	11.5	0.059	0.075	0.097	0.093
07/05/16 12:00 PM	20.8	0.060	0.071	0.095	0.092
07/05/16 04:00 PM	25.3	0.062	0.067	0.095	0.092
07/05/16 08:00 PM	23.3	0.057	0.063	0.097	0.092
07/06/16 12:00 AM	15.4	0.050	0.060	0.099	0.093
07/06/16 04:00 AM	9.7	0.047	0.061	0.098	0.092
07/06/16 08:00 AM	10.2	0.046	0.060	0.097	0.092
07/06/16 12:00 PM	21.8	0.050	0.056	0.095	0.091
07/06/16 04:00 PM	24.4	0.053	0.053	0.095	0.091
07/06/16 08:00 PM	22.6	0.049	0.050	0.097	0.091
07/07/16 12:00 AM	16.0	0.042	0.046	0.098	0.092
07/07/16 04:00 AM	10.7	0.038	0.047	0.098	0.092
07/07/16 08:00 AM	8.7	0.036	0.046	0.097	0.091
07/07/16 12:00 PM	20.7	0.042	0.044	0.094	0.090
07/07/16 04:00 PM	25.6	0.049	0.044	0.094	0.090
07/07/16 08:00 PM	25.3	0.045	0.041	0.097	0.091
07/08/16 12:00 AM	14.8	0.035	0.035	0.099	0.093
07/08/16 04:00 AM	10.8	0.030	0.032	0.099	0.093
07/08/16 08:00 AM	11.4	0.029	0.031	0.098	0.092
07/08/16 12:00 PM	26.4	0.035	0.033	0.095	0.091
07/08/16 04:00 PM	31.5	0.042	0.036	0.094	0.091
07/08/16 08:00 PM	29.4	0.037	0.032	0.097	0.092
07/09/16 12:00 AM	21.3	0.027	0.026	0.099	0.093
07/09/16 04:00 AM	13.3	0.021	0.021	0.099	0.093
07/09/16 08:00 AM	12.0	0.020	0.021	0.098	0.092
07/09/16 12:00 PM	24.9	0.026	0.024	0.095	0.092
07/09/16 04:00 PM	30.3	0.034	0.027	0.095	0.091
07/09/16 08:00 PM	29.4	0.031	0.024	0.097	0.092
07/10/16 12:00 AM	17.3	0.023	0.015	0.097	0.094
07/10/16 04:00 AM	12.1	0.023	0.009	0.090	0.096
07/10/16 08:00 AM	11.3	0.022	0.007	0.086	0.095
07/10/16 12:00 PM	15.2	0.030	0.019	0.086	0.094
07/10/16 04:00 PM	20.5	0.038	0.032	0.089	0.092
07/10/16 08:00 PM	17.6	0.035	0.033	0.092	0.091
07/11/16 12:00 AM	9.3	0.029	0.032	0.093	0.091
07/11/16 04:00 AM	5.9	0.026	0.029	0.091	0.090
07/11/16 08:00 AM	4.4	0.026	0.027	0.089	0.089
07/11/16 12:00 PM	8.5	0.030	0.026	0.088	0.089
07/11/16 04:00 PM	17.1	0.035	0.031	0.088	0.088
07/11/16 08:00 PM	19.3	0.039	0.033	0.089	0.089
07/12/16 12:00 AM	9.0	0.032	0.032	0.090	0.089
07/12/16 04:00 AM	3.5	0.028	0.029	0.090	0.089
07/12/16 08:00 AM	4.8	0.026	0.027	0.089	0.088
